title	types	title	types	title	types	title	types	title	tyoes	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types
忠犬八公物语	剧情	黄色潜水艇	喜剧	最长的一天	动作	七次机会	爱情	霹雳游侠2000电影版	科幻	男孩与世界	动画	王牌对王牌	悬疑	烈焰焚币	惊悚	惊情四百年	恐怖	地球公民	纪录片	生来自由	家庭	玩家马布斯博士	犯罪	怪兽电力公司	奇幻	蜘蛛侠：平行宇宙	冒险
芙蓉镇	剧情	安全至下	喜剧	红线	动作	天鹅湖	爱情	金刚狼3：殊死一战	科幻	黄色潜水艇	动画	尼罗河上的惨案	悬疑	蜘蛛巢城	惊悚	僵尸	恐怖	我和世界不一样	纪录片	娃娃	家庭	断魂枪声	犯罪	魔女宅急便	奇幻	被解救的姜戈	冒险
爱·回家	剧情	七次机会	喜剧	死亡的游戏	动作	鹳鸟踟蹰	爱情	银翼杀手2049	科幻	天鹅湖	动画	杀死一只知更鸟	悬疑	午夜狂奔	惊悚	阴阳师	恐怖	人生七年2	纪录片	绿野仙踪	家庭	伯特伦旅馆之谜	犯罪	狼的孩子雨和雪	奇幻	疯狂的麦克斯4：狂暴之路	冒险
攻壳机动队2：无罪	剧情	从军记	喜剧	通往自由的通道	动作	金玫瑰洞	爱情	她	科幻	小羊肖恩：美好时光	动画	12怒汉：大审判	悬疑	死囚越狱	惊悚	刑房	恐怖	人生七年3	纪录片	邮票旅行记	家庭	记忆碎片	犯罪	幸福的拉扎罗	奇幻	魔女宅急便	冒险
沉静如海	剧情	秋天里的春光	喜剧	笔中情	动作	儿子	爱情	银翼杀手	科幻	さらば！黄金の聖闘士	动画	放大	悬疑	恶魔	惊悚	咒怨 录像带版	恐怖	人生七年4	纪录片	我的朋友乔	家庭	网络谜踪	犯罪	梦	奇幻	人工智能	冒险
地下	剧情	小羊肖恩：美好时光	喜剧	釜山行	动作	剪刀手爱德华	爱情	黑洞频率	科幻	贤治之春	动画	飞向太空	悬疑	砂之女	惊悚	科学怪人	恐怖	人体内旅行	纪录片	奇迹男孩	家庭	战争之王	犯罪	亚当斯一家的价值观	奇幻	血钻	冒险
熊的故事	剧情	儿子	喜剧	王牌特工：特工学院	动作	天使爱美丽	爱情	星球大战前传3：西斯的复仇	科幻	苍穹之法芙娜：逝者的权利	动画	恶魔	悬疑	审判	惊悚	地下幻灯剧画 少女椿	恐怖	人生七年5	纪录片	海边的曼彻斯特	家庭	撞车	犯罪	小公主	奇幻	遗愿清单	冒险
寻子遇仙记	剧情	三毛学生意	喜剧	功夫	动作	喜剧之王	爱情	异次元骇客	科幻	守望先锋：英雄	动画	审判	悬疑	通往自由的通道	惊悚	诺斯费拉图：夜晚的幽灵	恐怖	人生七年6	纪录片	万箭穿心	家庭	非常嫌疑犯	犯罪	王子与公主	奇幻	勇闯夺命岛	冒险
生之欲	剧情	天使爱美丽	喜剧	变脸	动作	重庆森林	爱情	星球大战2：帝国反击战	科幻	通烟囱工人与牧羊女	动画	埃奇威尔爵士之死	悬疑	审问	惊悚	白狗	恐怖	猫咪物语4	纪录片	巴黎淘气帮	家庭	大卫·戈尔的一生	犯罪	解构爱情狂	奇幻	荒野生存	冒险
天堂回信	剧情	疯狂原始人	喜剧	速度与激情5	动作	断背山	爱情	星球大战3：绝地归来	科幻	你是个好人，查理·布朗	动画	赫尔克里的丰功伟绩	悬疑	釜山行	惊悚	天外魔花	恐怖	银魂樱祭2011（假）	纪录片	不一样的天空	家庭	燕尾蝶	犯罪	国王与小鸟	奇幻	回到未来	冒险
鳄鱼波鞋走天涯	剧情	喜剧之王	喜剧	无间道2	动作	倩女幽魂	爱情	回到未来3	科幻	疯狂原始人	动画	一级谋杀	悬疑	源代码	惊悚	被遗忘的孩子	恐怖	阿涅斯论瓦尔达	纪录片	如父如子	家庭	恶童	犯罪	兽兵卫忍风帖	奇幻	走出非洲	冒险
